MOT-900,VX-84,0
PIS-882,EV-35,0
LJU-255,XE-57,0
VSF-261,VX-84,17
RHX-119,XE-57,26
IDO-542,EV-35,25
ZLP-052,XE-57,39
VNV-541,VX-84,30
KMR-066,EV-35,38
BMR-330,EV-35,52
MRA-089,VX-84,50
LGI-450,IU-26,0
HXO-568,EV-35,62
NCR-129,IU-26,25
QYE-776,XE-57,62
VSO-369,IU-26,49
CWX-963,VX-84,66
PHJ-270,XE-57,78
WJV-470,IU-26,77
YTU-094,VX-84,84
OIK-494,EV-35,85
QIE-718,IU-26,91
HUG-411,XE-57,108
RCM-218,EV-35,107
KCP-349,XE-57,135
RQY-077,IU-26,125
CHL-145,VX-84,97
GDD-515,EV-35,135
YXK-918,XE-57,161
VUA-199,XE-57,202
TSU-503,EV-35,164
FIZ-850,IU-26,147
MCD-701,EV-35,184
FYM-372,IU-26,170
IEU-302,XE-57,222
GNC-956,IU-26,204
PRD-673,VX-84,122
TTZ-191,EV-35,225
HFW-447,VX-84,167
AIY-861,IU-26,226
HZA-881,VX-84,219
WWI-637,IU-26,248
PWO-613,VX-84,248
BRQ-326,XE-57,255
KPK-128,IU-26,275
JZJ-031,EV-35,252
DSN-776,IU-26,321
QIX-186,IU-26,377
PVV-164,EV-35,292
OFF-807,VX-84,285
ELE-046,XE-57,282
NFQ-902,VX-84,323
ZEV-884,EV-35,351
QSN-543,EV-35,384
MBV-606,IU-26,409
VMQ-996,XE-57,331
PTT-055,XE-57,378
GGF-075,XE-57,417
VVB-957,VX-84,380
CHI-898,IU-26,442

